Date,Ride,Average Wait Time (mins),Max Wait Time (mins)
2018-08-12,Trick or Treat: Lights Out,,
2018-08-13,GhostRider,45.0,45.0
2018-08-13,Calico River Rapids,33.0,50.0
2018-08-13,HangTime,18.0,30.0
2018-08-13,Voyage to the Iron Reef,12.0,20.0
2018-08-13,Pony Express,12.0,20.0
2018-08-13,Timber Mountain Log Ride,12.0,20.0
2018-08-13,Sierra Sidewinder,10.0,10.0
2018-08-13,Coast Rider,7.0,15.0
2018-08-13,Calico Mine Ride,7.0,10.0
2018-08-13,Jaguar!,5.0,5.0
2018-08-13,Montezooma's Revenge,5.0,5.0
2018-08-13,Silver Bullet,5.0,5.0
2018-08-13,Supreme Scream,5.0,5.0
